epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.26187515258789,7.814994812011719,14.4284086227417,1.0,15.26187515258789,7.814994812011719,14.4284086227417,1.0
0,0,16.975849151611328,9.97243595123291,16.143138885498047,1.0,16.975849151611328,9.97243595123291,16.143138885498047,1.0,,,,,,,,
1,1,,,,,,,,,13.753106117248535,6.9147443771362305,12.919575691223145,0.8032786846160889,13.753106117248535,6.9147443771362305,12.919575691223145,0.8032786846160889
1,1,14.823265075683594,7.83320426940918,13.99040412902832,0.9508196711540222,14.823265075683594,7.83320426940918,13.99040412902832,0.9508196711540222,,,,,,,,
2,2,,,,,,,,,13.01516342163086,6.545034408569336,12.181666374206543,0.7868852615356445,13.01516342163086,6.545034408569336,12.181666374206543,0.7868852615356445
2,2,13.496064186096191,6.9123101234436035,12.66439437866211,0.7868852615356445,13.496064186096191,6.9123101234436035,12.66439437866211,0.7868852615356445,,,,,,,,
3,3,,,,,,,,,12.64725399017334,6.414513111114502,11.813822746276855,0.7704917788505554,12.64725399017334,6.414513111114502,11.813822746276855,0.7704917788505554
3,3,12.76092529296875,6.549737453460693,11.92541217803955,0.7704917788505554,12.76092529296875,6.549737453460693,11.92541217803955,0.7704917788505554,,,,,,,,
4,4,,,,,,,,,12.500174522399902,6.228808879852295,11.666657447814941,0.7704917788505554,12.500174522399902,6.228808879852295,11.666657447814941,0.7704917788505554
4,4,12.431001663208008,6.410214424133301,11.597702980041504,0.7377049326896667,12.431001663208008,6.410214424133301,11.597702980041504,0.7377049326896667,,,,,,,,
5,5,,,,,,,,,12.437387466430664,6.162234306335449,11.603693008422852,0.7540983557701111,12.437387466430664,6.162234306335449,11.603693008422852,0.7540983557701111
5,5,12.283757209777832,6.2286577224731445,11.451238632202148,0.7213114500045776,12.283757209777832,6.2286577224731445,11.451238632202148,0.7213114500045776,,,,,,,,
6,6,,,,,,,,,12.188365936279297,6.041897773742676,11.354591369628906,0.7377049326896667,12.188365936279297,6.041897773742676,11.354591369628906,0.7377049326896667
6,6,12.181718826293945,6.156352996826172,11.350201606750488,0.7049180269241333,12.181718826293945,6.156352996826172,11.350201606750488,0.7049180269241333,,,,,,,,
7,7,,,,,,,,,12.013324737548828,5.916508674621582,11.179704666137695,0.7049180269241333,12.013324737548828,5.916508674621582,11.179704666137695,0.7049180269241333
7,7,11.994661331176758,6.029188632965088,11.161357879638672,0.7213114500045776,11.994661331176758,6.029188632965088,11.161357879638672,0.7213114500045776,,,,,,,,
8,8,,,,,,,,,11.922650337219238,5.853105545043945,11.089001655578613,0.7049180269241333,11.922650337219238,5.853105545043945,11.089001655578613,0.7049180269241333
8,8,11.773658752441406,5.91251802444458,10.941300392150879,0.6721311211585999,11.773658752441406,5.91251802444458,10.941300392150879,0.6721311211585999,,,,,,,,
9,9,,,,,,,,,11.758694648742676,5.733352184295654,10.925016403198242,0.7049180269241333,11.758694648742676,5.733352184295654,10.925016403198242,0.7049180269241333
9,9,11.690227508544922,5.832369804382324,10.857928276062012,0.688524603843689,11.690227508544922,5.832369804382324,10.857928276062012,0.688524603843689,,,,,,,,
10,10,,,,,,,,,11.692025184631348,5.675670146942139,10.858440399169922,0.7213114500045776,11.692025184631348,5.675670146942139,10.858440399169922,0.7213114500045776
10,10,11.525533676147461,5.7189555168151855,10.693836212158203,0.6721311211585999,11.525533676147461,5.7189555168151855,10.693836212158203,0.6721311211585999,,,,,,,,
11,11,,,,,,,,,11.616134643554688,5.609300136566162,10.782642364501953,0.7049180269241333,11.616134643554688,5.609300136566162,10.782642364501953,0.7049180269241333
11,11,11.416255950927734,5.6608662605285645,10.583280563354492,0.6721311211585999,11.416255950927734,5.6608662605285645,10.583280563354492,0.6721311211585999,,,,,,,,
12,12,,,,,,,,,11.508788108825684,5.516624450683594,10.67538833618164,0.7049180269241333,11.508788108825684,5.516624450683594,10.67538833618164,0.7049180269241333
12,12,11.352022171020508,5.601470470428467,10.51793098449707,0.688524603843689,11.352022171020508,5.601470470428467,10.51793098449707,0.688524603843689,,,,,,,,
13,13,,,,,,,,,11.43270206451416,5.437129974365234,10.599279403686523,0.7049180269241333,11.43270206451416,5.437129974365234,10.599279403686523,0.7049180269241333
13,13,11.257198333740234,5.511285781860352,10.425093650817871,0.688524603843689,11.257198333740234,5.511285781860352,10.425093650817871,0.688524603843689,,,,,,,,
14,14,,,,,,,,,11.384062767028809,5.370389461517334,10.550600051879883,0.7377049326896667,11.384062767028809,5.370389461517334,10.550600051879883,0.7377049326896667
14,14,11.17689323425293,5.439218997955322,10.342674255371094,0.688524603843689,11.17689323425293,5.439218997955322,10.342674255371094,0.688524603843689,,,,,,,,
15,15,,,,,,,,,11.353045463562012,5.31625509262085,10.519630432128906,0.7704917788505554,11.353045463562012,5.31625509262085,10.519630432128906,0.7704917788505554
15,15,11.149741172790527,5.3706955909729,10.317880630493164,0.688524603843689,11.149741172790527,5.3706955909729,10.317880630493164,0.688524603843689,,,,,,,,
16,16,,,,,,,,,11.318077087402344,5.280792236328125,10.484642028808594,0.7540983557701111,11.318077087402344,5.280792236328125,10.484642028808594,0.7540983557701111
